"OBJECTID"	"ID_AFLORAMENTO"	"ORIGEM"	"METODO_GEOPOSICIONAMENTO"	"TOPONIMIA"	"MUNICIPIO"	"UF"	"GEOLOGO"	"DATA_CADASTRO"	"TIPO_AFLORAMENTO"	"DESCRICAO"	"NUMERO_CAMPO"	"ROCHAS"	"SUREG"	"PROJETO"	"CODIGO_FOLHA"	"FOLHA"	"SHAPE"
34731955	255713	"Oracle"	"GPS Manual pré 25/05/2000"	"A 20 KM DA FAZENDA MANGABEIRA , MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	28/09/03	"Encosta de morro"	METAARENITO IMPURO, GRÃOS BEM SELECIONADOS.	"HL-28"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.27317586, -12.447507136, -42.27317586, -12.447507136, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@5949c647')
34731971	255733	"Oracle"	"GPS Manual pré 25/05/2000"	"1,0 KM A NOROESTE DE MATA MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	03/12/03	"Corte de estrada"	O metarenito é composto essencialmente por quartzo, com traços de argila e óxido de ferro. A matriz é quartzosa.	"HL-61"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.267625875, -12.487723345, -42.267625875, -12.487723345, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@7d8843a7')
34731987	255709	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A 5,6 KM A NE  DE LAGOA DO DIONÍSIO, MUNICÍPIO IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	25/09/93	"Corte de estrada"		"HL-16"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.180425229, -12.45261728, -42.180425229, -12.45261728, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@414ee97a')
34732003	255722	"Oracle"	"GPS Manual pré 25/05/2000"	"1,5 KM A SW DA FAZENDA LAGOA NOVA, MUNICÍPIO IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	02/10/05	"Corte de estrada"	OBSERVA-SE A PRESENÇA DE MINERAIS OPACOS EM TORNO DE 1% NO METASSILTITO.	"HL-38"	Metassiltito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.158005061, -12.442482258, -42.158005061, -12.442482258, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3e26104d')
34732019	255638	"Oracle"	"GPS Manual pré 25/05/2000"	"Tiririca de Cima"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	17/12/03	"Corte de estrada"	METAQUARTZO PÓRFIRO CONSTITUÍDO POR PÓRFIROS DE QUARTZO AZULADO ALCANÇANDO TAMANHOS DE ATÉ 1,5 CM DISPERSOS NUMA MATRIZ DE SERICITA/MUSCOVITA DE GRANULAÇÃO MÉDIA.	"HL-143"	Metavulcânica félsica	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.098714651, -12.44171633, -42.098714651, -12.44171633, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@606c4598')
34732035	255728	"Oracle"	"GPS Manual pré 25/05/2000"	"CÓRREGO SÃO LOURENÇO, SERRA DO BREJO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	29/11/03	"Corte de estrada"	METACONGLOMERADO POLIMÍTICO ORA SUSTENTADO PELOS CLASTOS E ORA SUSTENTADO PELA MATRIZ.	"HL-47"	Metaconglomerado polimítico	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.375546611, -12.482608181, -42.375546611, -12.482608181, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@4a90e95e')
34732051	255702	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, EM PAU FERRO, MUNICÍPIO IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	24/09/03	"Corte de estrada"	METARENITO FRIÁVEL, IMPURO, COMPOSTO POR GRÃOS DE QUARTZO ARREDONDADOS A SUBARREDONDADOS E ALGUMA ARGILA EM NÍVEIS INTERDUNAS. A ROCHA É BIMODAL E APRESENTA BOM SELECIONAMENTO SUGESTIVA DE AMBIENTE EÓLICO.	"HL-09"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.333806272, -12.44371304, -42.333806272, -12.44371304, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3ca7cacb')
34732067	255703	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A SUDESTE DE PAU DE FERRO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	24/09/03	"Corte de estrada"	METARENITO COM GRANULAÇÃO FINA A MÉDIA, FRIÁVEL, COMPOSTO PREDOMINANTEMENTE POR GRÃOS DE QUARTZO ARREDONDADOS A SUBARREDONDADOS, BEM SELECIONADOS, E DE FORMA SUBORDINADA PORGUMA ARGILA QUE SE CONCENTRA NOS NÍVEIS INTERDUNAS. A ROCHA APRESENTA CAMADA TABULARES PLANAS E COM ESTRATOS CRUZADOS TANGENCIANDO NA BASE. OBSERVA-SE QUE OS PLANOS DE DESCONTINUIDADE SEPARAM OS NÍVEIS ARGILOSOS COM ATÉ 30 CM DE ESPESSURA DAS INTERDUNAS.	"HL-10"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.31235614, -12.455425126, -42.31235614, -12.455425126, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@2069921c')
34732083	255704	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A SUDESTE DE PAU DE FERRO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	24/09/05	"Corte de estrada"	METARENITO COM ESTRATIFICAÇÃO CRUZADA ACANALADA INDICANDO AMBIENTE DEPOSICIONAL EÓLICO.	"HL-11"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.302816083, -12.461979171, -42.302816083, -12.461979171, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@61369ded')
34732099	255730	"Oracle"	"GPS Manual pré 25/05/2000"	"FAZ. OLHOS D´ÁGUA NOVO, MUNICÍPIO SEABRA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	02/12/03	"Corte de estrada"	ALTERNÂNCIA DE NÍVEIS CENTIMÉTRICOS DE METARGILITOS E METASSILTITOS. OBSERVA-SE A PRESENÇA DE NÍVEIS DE ÓXIDO DE FERRO INTERCALADOS NOS ESTRATOS DE METASSILTITOS E METARGILITOS.	"HL-51"	Metargilito, Metassiltito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.110984804, -12.493704575, -42.110984804, -12.493704575, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@74bf43aa')
34732115	255706	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A SW  LAGOA DO DIONÍSIO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	31/01/06	"Corte de estrada"	AFLORAMENTO PROVAVELMNETE SE ENCONTRA NO CONTATO ENTRE FORMAÇÃO LAGOA DE DENTRO E FORMAÇÃO OURICURI DO OURO	"HL-13"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.265465834, -12.467584247, -42.265465834, -12.467584247, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@7c09d88c')
34732131	255723	"Oracle"	"GPS Manual pré 25/05/2000"	"GAMELEIRA DO MUNICÍPIO IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	02/10/03	"Encosta de morro"		"HL-39"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.215165397, -12.399219968, -42.215165397, -12.399219968, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@48a58b9c')
34732147	255637	"Oracle"	"GPS Manual pré 25/05/2000"	"Queimada, município de Ibitiara"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	03/12/03	"Rasteiro (Leito de estrada, terraplenagem, etc.)"	ROCHA DE COR VARIADA FORMADA BASICAMENTE POR NÍVEIS ESTREITOS DE METARGILITO E METASSILTITO. OBSERVA-SE A PRESENÇA DE NÍVEIS DE METARENITO FINO E DE ÓXIDO DE FERRO.	"HL-66"	Metargilito, Metassiltito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.295596082, -12.498557363, -42.295596082, -12.498557363, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@12fe6a84')
34732163	255732	"Oracle"	"GPS Manual pré 25/05/2000"	"1,5 KM A SUDESTE DE  MATA, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	03/12/03	"Corte de estrada"	PRESENÇA DE ESTRATOS ACAMADADOS ALTERNADOS DE METASSILTITOS E METARGILITOS. OBSERVA-SE A PRESENÇA DE AGREGADOS DE MICAS NOS ARGILITOS.	"HL-60"	Metargilito, Metassiltito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.259135825, -12.493861386, -42.259135825, -12.493861386, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3f0540c2')
34732179	255708	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, EM LAGOA DO DIONÍSIO, MUNICÍPIO DE IBITIARA"	"Ibitiara"	"BA"	"Herman Santos Chatalá Loureiro"	25/09/03	"Encosta de morro"		"HL-15"	Diabásio	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.231475592, -12.461763261, -42.231475592, -12.461763261, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@37959493')
34732195	255650	"Oracle"	"GPS Manual pré 25/05/2000"	"Curral Velho, município de Brotas de Macaúbas"	"Brotas de Macaúbas"	"BA"	"Herman Santos Chatalá Loureiro"	03/06/04	"Corte de estrada"	METARENITO SILICIFICADO OCORRENDO SOB A FORMA DE BANCOS ACAMADADOS COM ESPESSURAS CENTIMÉTRICAS.	"HL-159"	Arenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.322266101, -12.374315707, -42.322266101, -12.374315707, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@27250017')
34732211	255651	"Oracle"	"GPS Manual pré 25/05/2000"	"Povoado de Sumidouro, município de Brotas de Macaúbas"	"Brotas de Macaúbas"	"BA"	"Herman Santos Chatalá Loureiro"	03/06/04	"Corte de estrada"	ARGILITO COM PRESENÇA DE GRÃOS DISPERSOS DE QUARTZO HIALINO ANGULOSOS DE GRANULAÇÃO FINA A MÉDIA E DE ÓXIDOS DE FERRO.	"HL-160"	Argilito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.292065856, -12.345984604, -42.292065856, -12.345984604, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1b3b983b')
34732227	255694	"Oracle"	"GPS Manual pré 25/05/2000"	"SERRA DO ITAPICURU, MUNICÍPIO DE OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	22/09/03	"Corte de estrada"	METACONGLOMERADO POLIMÍTICO ORA SUPORTADO PELOS CLASTOS E ORA PELA MATRIZ. OS SEIXOS SÃO SUBANGULOSOS E FORMADOS PREDOMINANTEMENTE POR QUARTZO E DE FORMA SUBORDINADA POR QUARTZITO, GRANITO, GNAISSES E ROCHAS VULCÂNICAS. OS TAMANHOS SÃO VARIADOS, TENDO EM MÉDIA 10 CM DE COMPRIMENTO. A MATRIZ É ARENÍTICA ARCOSEANA FORMADA DE GRÃOS DETRÍTICOS PRINCIPALMENTE DE QUARTZO E MICROCLINA COM CIMENTO/MATRIZ DE QUARTZO E ÓXIDO FERRO SUGERINDO AMBIENTE DE DEPOSIÇÃO OXIDANTE. OBSERVA-SE QUE NO PONTO PASSA UMA FALHA DE DIREÇÃO QUASE NORTE-SUL BORDEJANDO A SERRA DO ITAPICURU.	"HL-01"	Metaconglomerado polimítico	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.426226977, -12.496450184, -42.426226977, -12.496450184, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@78728058')
34732243	255696	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A 4,0 KM DE QUEIMADA  NOVA MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	14/02/07	"Corte de estrada"	ORTOGNAISSE MILONITIZADO E SERICITIZADO. A DEFORMAÇÃO DESTRUI QUASE TODAS AS CARACTERISTICAS PRIMÁRIAS TEXTURAIS DA ROCHA. PETROGRAFICAMENTE A ROCHA É UM QUARTO-MUSCOVITA-BIOTITA-XISTO CATACLÁSTICO.	"HL-03"	Ortognaisse granodiorítico	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.400096663, -12.395291713, -42.400096663, -12.395291713, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@72fefdaa')
34732259	255698	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, SE DE QUEIMADA  NOVA, MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	23/09/03	"Corte de estrada"	OCORRE INTRUSIVO NO METARENITOS EÓLICO. SEUS CONTATOS COM A ROCHA ENCAIXANTE SÃO BRUSCOS.	"HL-05"	Diabásio	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.386396579, -12.402874768, -42.386396579, -12.402874768, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@536982b2')
34732275	255697	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A 40 KM A SUDESTE DE QUEIMADA  NOVA, MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	23/09/03	"Corte de estrada"	METARENITO DE CORES VARIADAS COMPOSTO POR QUARTZO, FELDSPATO E ÓXIDOS DE FERRO, SUBORBINADAMENTE. APRESENTA ESTRUTURAS DE MARCA DE ONDULAÇÃO E ESTRATOS CRUZADOS DE GRANDE PORTE EM CRUZADA ACANALADA. ALÉM DE GEOMETRIA DE CANAL E EM CUNHA. OS ESTRATOS SÃO DECIMÉTRICOS A MÉTRICOS (1,20 M).	"HL-04"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.396726645, -12.398845735, -42.396726645, -12.398845735, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@11dd1aa2')
34732291	255714	"Oracle"	"GPS Manual pré 25/05/2000"	"6,0 KM  A LESTE DE  QUEIMADA  NOVA, NA RETA,  MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	28/09/03	"Rasteiro (Leito de estrada, terraplenagem, etc.)"	DIABÁSIO CORTANDO METAARENITOS DA CHAPADA DIAMANTINA.	"HL-29"	Diabásio	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.378146492, -12.380037665, -42.378146492, -12.380037665, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@2809f648')
34732307	255701	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242,  A SUDESTE QUEIMADA  NOVA, MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	15/02/07	"Corte de estrada"	ROCHA COMPOSTA POR PLAGIOCLÁSIO E PIROXÊNIO TREMOLITIZADO. QUANDO ALTERADA EXIBE ESFOLIAÇÃO ESFEREROIDAL.	"HL-08"	Diabásio	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.362266428, -12.413437852, -42.362266428, -12.413437852, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@4ff78950')
34732323	255726	"Oracle"	"GPS Manual pré 25/05/2000"	"FAZENDA AGRESTINHO,MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	28/11/03	"Encosta de morro"		"HL-45"	Granodiorito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.454127093, -12.439704866, -42.454127093, -12.439704866, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3e4a064d')
34732339	255699	"Oracle"	"GPS Manual pré 25/05/2000"	"BR-242, A SUDESTE QUEIMADA  NOVA, MUNICÍPIO OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	23/09/03	"Corte de estrada"	INTERCALAÇÃO RITMICA DE ESTRATOS CENTIMÉTRICOS DE METASSILTITOS E METARGILITOS. ESTA SEQUÊNCIA SOBREPÕE-SE A UMA ZONA DE INTERDUNA EM SUPERFÍCIE DE DEFLAÇÃO OU NÍVEL SUBAQUOSA.	"HL-06"	Metargilito, Metassiltito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.375716508, -12.404163788, -42.375716508, -12.404163788, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@4797ad22')
34732355	255724	"Oracle"	"GPS Manual pré 25/05/2000"	"SERRA DO ITAPICURU, MUNICÍPIO DE OLIVEIRA DOS BREJINHOS"	"Oliveira dos Brejinhos"	"BA"	"Herman Santos Chatalá Loureiro"	28/11/03	"Corte de estrada"		"HL-43"	Metarenito	"OUTROS"	"Ibitiara-Rio de Contas"	"SD-23-X-B-III"	"Ouricuri do Ouro"	SDE.ST_POINT(1, 1, -42.45765707, -12.403805682, -42.45765707, -12.403805682, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@b1533bf')
